time,device,vmCount,ramUsed,ramTotal,ramUtilPercent,cpuUtilPercent,energyConsumed,anomaly_score,anomaly,is_anomaly
800,cloud,4,2000,40000,5.0,30.84,0.001,0.05791410343897263,1,False
800,fog-0,4,3500,4000,87.5,53.36,0.001,0.08789030343493132,1,False
800,cam-1,2,800,1000,80.0,20.18,0.001,0.19655169678130485,1,False
800,cam-2,2,800,1000,80.0,23.67,0.001,0.2003672128919446,1,False
800,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
800,signal-monitor,2,600,1024,58.59,2.94,0.001,0.1152269743228122,1,False
800,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
800,cloud,4,2000,40000,5.0,33.72,0.001,0.049394423265334386,1,False
800,fog-0,4,3500,4000,87.5,5.16,0.001,-0.1130456920633719,-1,True
800,cam-1,2,800,1000,80.0,22.13,0.001,0.20176959041898762,1,False
800,cam-2,2,800,1000,80.0,24.19,0.001,0.1988759839540304,1,False
800,soil-sensor-node,2,400,512,78.13,3.02,0.001,0.09677705852207197,1,False
800,signal-monitor,2,600,1024,58.59,6.61,0.001,0.07079844999024232,1,False
800,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
800,cloud,4,2000,40000,5.0,25.04,0.001,0.1040927897286229,1,False
800,fog-0,4,3500,4000,87.5,49.72,0.001,0.1080542509617376,1,False
800,cam-1,2,800,1000,80.0,24.33,0.001,0.19911947637108884,1,False
800,cam-2,2,800,1000,80.0,14.8,0.001,0.15636328889819867,1,False
800,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
800,signal-monitor,2,600,1024,58.59,1.62,0.001,0.10666582618920128,1,False
800,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
800,cloud,4,2000,40000,5.0,31.4,0.001,0.05872834695081908,1,False
800,fog-0,4,3500,4000,87.5,47.18,0.001,0.08756966518594778,1,False
800,cam-1,2,800,1000,80.0,28.51,0.001,0.15365969493781406,1,False
800,cam-2,2,800,1000,80.0,15.05,0.001,0.1542292818910686,1,False
800,soil-sensor-node,2,400,512,78.13,2.65,0.001,0.09662023205119707,1,False
800,signal-monitor,2,600,1024,58.59,4.41,0.001,0.09888636620105329,1,False
800,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
800,cloud,4,2000,40000,5.0,31.68,0.001,0.05654465184595969,1,False
800,fog-0,4,3500,4000,87.5,44.56,0.001,0.05503586230069335,1,False
800,cam-1,2,800,1000,80.0,8.97,0.001,0.08835201434607676,1,False
800,cam-2,2,800,1000,80.0,21.89,0.001,0.1997923732924755,1,False
800,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
800,signal-monitor,2,600,1024,58.59,6.65,0.001,0.07043182352300492,1,False
800,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
800,cloud,4,2000,40000,5.0,28.23,0.001,0.10248195167486762,1,False
800,fog-0,4,3500,4000,87.5,42.72,0.001,0.026387007924816297,1,False
800,cam-1,2,800,1000,80.0,18.6,0.001,0.1949309274608887,1,False
800,cam-2,2,800,1000,80.0,16.8,0.001,0.17156027533406348,1,False
800,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
800,signal-monitor,2,600,1024,58.59,0.0,0.001,0.18541463418876158,1,False
800,irrigation-controller,2,300,2048,14.65,0.06,0.001,0.09428673993755432,1,False
800,cloud,4,2000,40000,5.0,25.35,0.001,0.102335007611294,1,False
800,fog-0,4,3500,4000,87.5,44.67,0.001,0.056166216354842646,1,False
800,cam-1,2,800,1000,80.0,27.53,0.001,0.1728469308954932,1,False
800,cam-2,2,800,1000,80.0,27.47,0.001,0.17390536193350992,1,False
800,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
800,signal-monitor,2,600,1024,58.59,1.86,0.001,0.11305682314833904,1,False
800,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
810,cloud,4,2000,40000,5.0,37.24,0.001,-0.007695507945829738,-1,True
810,fog-0,4,3500,4000,87.5,56.63,0.001,0.056627837299440875,1,False
810,cam-1,2,800,1000,80.0,1.91,0.001,0.03620715965647758,1,False
810,cam-2,2,800,1000,80.0,19.43,0.001,0.19689609675192837,1,False
810,soil-sensor-node,2,400,512,78.13,11.65,0.001,-0.017371821283489464,-1,True
810,signal-monitor,2,600,1024,58.59,0.1,0.001,0.143772889322901,1,False
810,irrigation-controller,2,300,2048,14.65,1.79,0.001,0.05195857599755627,1,False
900,cloud,4,2000,40000,5.0,25.9,0.001,0.1018590890069867,1,False
900,fog-0,4,3500,4000,87.5,48.25,0.001,0.10231462445608919,1,False
900,cam-1,2,800,1000,80.0,24.19,0.001,0.1988759839540304,1,False
900,cam-2,2,800,1000,80.0,23.48,0.001,0.2002514643071091,1,False
900,soil-sensor-node,2,400,512,78.13,0.0,0.001,0.1826863442513174,1,False
900,signal-monitor,2,600,1024,58.59,3.83,0.001,0.10322937007922495,1,False
900,irrigation-controller,2,300,2048,14.65,0.0,0.001,0.15670074585459698,1,False
900,cloud,4,2000,40000,5.0,31.6,0.001,0.056356829749695136,1,False
900,fog-0,4,3500,4000,87.5,45.01,0.001,0.06036404089717262,1,False
900,cam-1,2,800,1000,80.0,19.3,0.001,0.19459335262742838,1,False
900,cam-2,2,800,1000,80.0,12.72,0.001,0.13407443220452636,1,False
900,soil-sensor-node,2,400,512,78.13,0.65,0.001,0.10421269580303971,1,False
900,signal-monitor,2,600,1024,58.59,2.59,0.001,0.12175964648765103,1,False
900,irrigation-controller,2,300,2048,14.65,3.68,0.001,0.060499493312462294,1,False
900,cloud,4,2000,40000,5.0,24.48,0.001,0.09479716927602655,1,False
900,fog-0,4,3500,4000,87.5,50.2,0.001,0.10936311598525061,1,False
900,cam-1,2,800,1000,80.0,14.82,0.001,0.15636328889819867,1,False
900,cam-2,2,800,1000,80.0,7.58,0.001,0.0698625387509656,1,False
900,soil-sensor-node,2,400,512,78.13,0.2,0.001,0.12980591424524207,1,False
900,signal-monitor,2,600,1024,58.59,0.79,0.001,0.11192146318524754,1,False
900,irrigation-controller,2,300,2048,14.65,1.93,0.001,0.051074705737147896,1,False
900,cloud,4,2000,40000,5.0,39.39,0.001,-0.04351819206804686,-1,True
900,fog-0,4,3500,4000,87.5,43.26,0.001,0.042649940297713185,1,False
900,cam-1,2,800,1000,80.0,31.43,0.001,0.10758003653400317,1,False
